id,dataset,split,image_path,question,correct_answer,question_type,option_a,option_b,option_c,option_d,correct_label,language,options
pathvqa_000006,pathvqa,train,pathvqa_000006.jpg,is normal palmar creases present?,no,Yes/No,Yes,yes,good,no,D,english,A) Yes B) yes C) good D) no
pathvqa_000008,pathvqa,train,pathvqa_000008.jpg,what is present?,gastrointestinal,What,Heart,Yes,gastrointestinal,female reproductive system,C,english,A) Heart B) Yes C) gastrointestinal D) female reproductive system
pathvqa_000011,pathvqa,train,pathvqa_000011.jpg,what does this image show?,excellent photo typical adenocarcinoma extending through muscularis to serosa,What,axial,yes,due to portal hypertension from cirrhosis hcv,excellent photo typical adenocarcinoma extending through muscularis to serosa,D,english,A) axial B) yes C) due to portal hypertension from cirrhosis hcv D) excellent photo typical adenocarcinoma extending through muscularis to serosa
pathvqa_000016,pathvqa,train,pathvqa_000016.jpg,is hyperplasia without atypia characterized by nests of closely packed glands?,yes,Yes/No,3,"Stomach, Colon",Yes,yes,D,english,"A) 3 B) Stomach, Colon C) Yes D) yes"
pathvqa_000022,pathvqa,train,pathvqa_000022.jpg,what is present?,gastrointestinal,What,gastrointestinal,Yes,Chest,yes,A,english,A) gastrointestinal B) Yes C) Chest D) yes
pathvqa_000026,pathvqa,train,pathvqa_000026.jpg,does retroperitoneal leiomyosarcoma show typical infiltrating adenocarcinoma?,no,Yes/No,no,Lower Right Lobe,chromophobe adenoma,No,A,english,A) no B) Lower Right Lobe C) chromophobe adenoma D) No
pathvqa_000035,pathvqa,train,pathvqa_000035.jpg,what is present?,gastrointestinal,What,gastrointestinal,endocrine,posterior view of body lesions mostly in head neck and thorax,Yes,A,english,A) gastrointestinal B) endocrine C) posterior view of body lesions mostly in head neck and thorax D) Yes
pathvqa_000038,pathvqa,train,pathvqa_000038.jpg,what is seen as glandular crowding and cellular atypia?,hyperplasia without atypia,What,hyperplasia without atypia,joints,yes,adrenal,A,english,A) hyperplasia without atypia B) joints C) yes D) adrenal
pathvqa_000044,pathvqa,train,pathvqa_000044.jpg,what is present?,colon,What,urinary,colon,T1,female reproductive system,B,english,A) urinary B) colon C) T1 D) female reproductive system
pathvqa_000049,pathvqa,train,pathvqa_000049.jpg,what is hyperplasia with atypia seen as?,glandular crowding and cellular atypia,What,gastrointestinal,yes,glandular crowding and cellular atypia,"Left Lung, Right",C,english,"A) gastrointestinal B) yes C) glandular crowding and cellular atypia D) Left Lung, Right"
pathvqa_000051,pathvqa,train,pathvqa_000051.jpg,what does this image show?,typical excellent pinworm,What,typical excellent pinworm,2,two,endocrine system,A,english,A) typical excellent pinworm B) 2 C) two D) endocrine system
pathvqa_000054,pathvqa,train,pathvqa_000054.jpg,what is present?,gastrointestinal,What,T2,larynx,gastrointestinal,2,C,english,A) T2 B) larynx C) gastrointestinal D) 2
pathvqa_000078,pathvqa,train,pathvqa_000078.jpg,what is present?,amebiasis,What,vasculature,hepatobiliary,amebiasis,large hemorrhagic lesion about left cord due to tube and candida possibly the portal of entry case of myeloproliferative syndrome with pancytopenia,C,english,A) vasculature B) hepatobiliary C) amebiasis D) large hemorrhagic lesion about left cord due to tube and candida possibly the portal of entry case of myeloproliferative syndrome with pancytopenia
pathvqa_000096,pathvqa,train,pathvqa_000096.jpg,what is present?,cytomegalovirus,What,yes,No,cytomegalovirus,Heart,C,english,A) yes B) No C) cytomegalovirus D) Heart
pathvqa_000100,pathvqa,train,pathvqa_000100.jpg,what is present?,gastrointestinal,What,2,with tumor mass,pancreas,gastrointestinal,D,english,A) 2 B) with tumor mass C) pancreas D) gastrointestinal
pathvqa_000104,pathvqa,train,pathvqa_000104.jpg,does microscopic appearance of leiomyoma show bundles of normal-looking smooth muscle cells?,yes,Yes/No,brain,liver,yes,2,C,english,A) brain B) liver C) yes D) 2
pathvqa_000114,pathvqa,train,pathvqa_000114.jpg,what is present?,gastrointestinal,What,yes,breast,gastrointestinal,no,C,english,A) yes B) breast C) gastrointestinal D) no
pathvqa_000121,pathvqa,train,pathvqa_000121.jpg,what is present?,gastrointestinal,What,yes,no,No,gastrointestinal,D,english,A) yes B) no C) No D) gastrointestinal
